Merek,Model,Varian,Tahun,harga,Jarak tempuh,Tipe bahan bakar,Transmisi,Kapasitas mesin
Honda,Mobilio,1.5 RS Bensin-AT,2017,178000000.0,92500.0,Bensin,Automatic,1.5
Nissan,Grand livina,1.5 XV Bensin-AT,2014,114000000.0,117500.0,Bensin,Automatic,1.5
Honda,CR-V,2.0 Bensin-MT,2003,76500000.0,192500.0,Bensin,Manual,2.0
Toyota,Yaris,1.5 E Bensin-MT,2011,108000000.0,102500.0,Bensin,Manual,1.5
Honda,City Type-Z,1.6 Bensin-MT,2002,55000000.0,142500.0,Bensin,Manual,1.6
Honda,Brio,1.2 E Bensin-AT,2018,140000000.0,32500.0,Bensin,Automatic,1.2
Suzuki,Katana,1.0 GX Bensin-MT,1997,50000000.0,2500.0,Bensin,Manual,1.0
Toyota,Rush,1.5 TRD Sportivo Bensin-AT,2019,215000000.0,87500.0,Bensin,Automatic,1.5
Toyota,Kijang Innova,2.5 G Solar-MT,2013,257000000.0,77500.0,Diesel,Manual,2.5
Datsun,Go+ Panca,1.2 T Bensin-MT,2014,72000000.0,82500.0,Bensin,Manual,1.2
Daihatsu,Xenia,1.3 Xi FAMILY Bensin-MT,2010,89000000.0,177500.0,Bensin,Manual,1.3
Toyota,Yaris,1.5 TRD Sportivo 7 AB Bensin-AT,2021,238900000.0,57500.0,Bensin,Automatic,1.5
Toyota,Yaris,1.5 G Bensin-MT,2018,185000000.0,32500.0,Bensin,Manual,1.5
Nissan,Grand livina,1.5 SV Facelift Bensin-AT,2016,105000000.0,87500.0,Bensin,Automatic,1.5
Toyota,Avanza,1.3 New G Bensin-MT,2013,119000000.0,132500.0,Bensin,Manual,1.3
Toyota,Kijang Innova,2.0 G Bensin-AT,2016,310000000.0,162500.0,Diesel,Automatic,2.0
Toyota,Vios,1.5 E Bensin-MT,2009,67000000.0,237500.0,Bensin,Manual,1.5
Suzuki,Ertiga,1.5 GL Bensin-MT,2016,125000000.0,32500.0,Bensin,Manual,1.5
Wuling,Cortez,1.8 L Lux Plus i-A Bensin-AT,2018,129000000.0,122500.0,Bensin,Automatic,1.8
Honda,City,1.5 E Bensin-AT,2017,184000000.0,92500.0,Bensin,Automatic,1.5
Toyota,Voxy,2.0 Bensin-AT,2018,300000000.0,137500.0,Bensin,Automatic,2.0
Mitsubishi,Xpander,1.5 Sport Bensin-AT,2018,204000000.0,67500.0,Bensin,Automatic,1.5
Toyota,Kijang Innova,2.5 G Solar-MT,2013,257000000.0,77500.0,Diesel,Manual,2.5
Honda,WR-V,1.5 RS Bensin-AT,2023,230000000.0,12500.0,Bensin,Automatic,1.5
Nissan,Grand livina,1.5 XV Bensin-AT,2013,105000000.0,12500.0,Bensin,Automatic,1.5
Toyota,Yaris,1.5 E Bensin-AT,2013,100000000.0,182500.0,Bensin,Automatic,1.5
Toyota,Dyna,3.6 Solar-MT,2001,30000000.0,42500.0,Diesel,Manual,3.6
Honda,Jazz,1.5 RS Bensin-AT,2013,163000000.0,102500.0,Bensin,Automatic,1.5
Honda,HR-V,1.5 E Bensin-AT,2015,189000000.0,132500.0,Bensin,Automatic,1.5
Isuzu,Panther,2.5 LS Hi Grade Solar-MT,1998,40000000.0,300000.0,Diesel,Manual,2.5
Suzuki,Katana,1.0 Bensin-MT,1997,53000000.0,177500.0,Bensin,Manual,1.0
Toyota,Kijang Super,1.5 Bensin-MT,1989,23000000.0,172500.0,Bensin,Manual,1.5
Suzuki,Ertiga,1.5 GL Bensin-MT,2012,110000000.0,112500.0,Bensin,Manual,1.5
Daihatsu,Terios,1.5 ADVENTURE R Bensin-MT,2019,192000000.0,67500.0,Bensin,Manual,1.5
Toyota,Fortuner,2.4 4x2 VRZ Solar-AT,2017,340000000.0,182500.0,Bensin,Automatic,2.4
Toyota,Kijang Innova,2.0 G Bensin-AT,2021,280000000.0,22500.0,Bensin,Automatic,2.0
Toyota,Calya,1.2 G Bensin-MT,2017,96000000.0,62500.0,Bensin,Manual,1.2
Nissan,Grand livina,1.5 XV Bensin-AT,2015,112000000.0,122500.0,Bensin,Automatic,1.5
Isuzu,Pick-Up,2.5 Solar-MT,2010,77000000.0,212500.0,Diesel,Manual,2.5
Toyota,86,2.0 TRD Bensin-AT,2020,660000000.0,27500.0,Bensin,Automatic,2.0
Toyota,Kijang Innova,2.0 V Bensin-MT,2004,91000000.0,212500.0,Bensin,Manual,2.0
Suzuki,Karimun Wagon R,1.0 GL Bensin-MT,2014,69000000.0,102500.0,Bensin,Manual,1.0
Mitsubishi,Strada Triton,2.5 Bensin-MT,2018,180000000.0,127500.0,Bensin,Manual,2.5
Toyota,Kijang,2.0 E Bensin-MT,2012,135000000.0,132500.0,Bensin,Manual,2.0
Toyota,Avanza,1.3 G Bensin-MT,2005,79000000.0,122500.0,Bensin,Manual,1.3
